run,experiment,data_kind,n,mode,trial,case_id,queries,median_ms,p95_ms,p99_ms,accept_median_ms,accept_cpu_mean_ms,rss_after_MiB,rss_before_MiB,ru_maxrss_MiB_DO_NOT_USE_AS_PHASE_PEAK,memory_limit_MiB,pressure_buffer_MiB,accepted,mean_json_body_bytes,selected_payload_sha256,timing_scope
HPC,local,synthetic,512,leaf,2,0027-synthetic-n512-leaf-t2-local,200,0.8644164999999999,0.9018732999999999,0.9445434899999998,0.8637775000000001,0.85268379,22.515625,21.70703125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,leaf,3,0025-synthetic-n512-leaf-t3-local,200,0.8188165,0.82352935,0.83056885,0.818247,0.815198805,22.27734375,21.48828125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,512,leaf,4,0048-synthetic-n512-leaf-t4-local,200,0.8170014999999999,0.82149085,0.8294139299999992,0.8163864999999999,0.8137726,22.48828125,21.73828125,141.57421875,0,0.0,200,0,399484347219683dce319075ea78057e1e8ffcce90859b513ec913109fec9398,pre-delivered response acceptance only
HPC,local,synthetic,4096,archive,0,0050-synthetic-n4096-archive-t0-local,200,0.1769045,0.18159495,0.1900247399999995,0.1764365,0.17660826500000001,21.8828125,21.53125,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,archive,1,0065-synthetic-n4096-archive-t1-local,200,0.17705949999999998,0.18096515000000002,0.1865510599999995,0.17658849999999998,0.176504185,21.95703125,21.6484375,142.46875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,archive,2,0040-synthetic-n4096-archive-t2-local,200,0.175202,0.18003965,0.1856520199999994,0.174722,0.175275425,22.14453125,21.828125,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,archive,3,0073-synthetic-n4096-archive-t3-local,200,0.1767245,0.18305345,0.19428708999999947,0.17620000000000002,0.176687015,22.1015625,21.78515625,142.46875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,archive,4,0031-synthetic-n4096-archive-t4-local,200,0.177961,0.18208425,0.18682931999999955,0.1774665,0.177494625,22.1640625,21.84765625,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_cached,0,0069-synthetic-n4096-ext_cached-t0-local,200,0.178633,0.19507604999999995,0.21325931999999972,0.178116,0.17895978,22.14453125,21.83203125,142.46875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_cached,1,0001-synthetic-n4096-ext_cached-t1-local,200,0.177541,0.1826347,0.20708689999999952,0.1770475,0.177549835,21.94140625,21.625,113.71484375,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_cached,2,0037-synthetic-n4096-ext_cached-t2-local,200,0.1766565,0.1811206,0.19059562999999946,0.17618450000000002,0.176522395,21.84375,21.48828125,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_cached,3,0055-synthetic-n4096-ext_cached-t3-local,200,0.17693199999999998,0.1988121,0.21696874999999952,0.1763915,0.179329835,22.09765625,21.72265625,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_cached,4,0047-synthetic-n4096-ext_cached-t4-local,200,0.17787999999999998,0.18247755,0.19951450999999942,0.1773845,0.177848975,21.83984375,21.48828125,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_rebuild,0,0036-synthetic-n4096-ext_rebuild-t0-local,200,0.175356,0.17995039999999998,0.18320056999999937,0.1748885,0.175273685,22.078125,21.703125,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_rebuild,1,0039-synthetic-n4096-ext_rebuild-t1-local,200,0.180687,0.20166524999999996,0.21645351999999968,0.1801615,0.181838645,21.7734375,21.4140625,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
HPC,local,synthetic,4096,ext_rebuild,2,0020-synthetic-n4096-ext_rebuild-t2-local,200,0.175943,0.1825513,0.20974734999999958,0.17546450000000002,0.176184925,21.77734375,21.41796875,141.57421875,0,0.0,200,0,0687bb27f05141a424b31da9247a1c02625c10a06caaa5ff34a33daeb97eabec,pre-delivered response acceptance only
